attendance,study_hours,past_failures,assignments_completed_pct,parental_education,family_income,extracurricular,internet_access,previous_grade,final_score
60.43,8.64,4,64.49,Higher,Medium,No,Yes,69.85,48.47
100.0,0.0,2,92.48,Secondary,Low,Yes,Yes,48.4,52.67
68.83,5.43,4,80.22,Secondary,High,Yes,Yes,100.0,67.42
67.49,10.31,3,100.0,Secondary,Medium,Yes,Yes,75.99,64.55
40.1,11.54,2,86.17,Secondary,Low,Yes,Yes,76.59,84.52
85.48,8.29,2,60.55,Primary,Low,No,No,94.23,58.57
45.64,0.0,3,80.64,Secondary,Low,Yes,No,84.08,56.58
86.06,5.22,3,100.0,Secondary,Low,Yes,Yes,78.08,79.31
89.5,13.63,3,66.89,Higher,Low,Yes,Yes,100.0,80.42
56.26,11.32,3,72.72,Secondary,High,Yes,Yes,94.7,92.02
98.91,5.58,1,70.42,Secondary,Low,No,Yes,79.58,75.25
68.13,11.06,3,46.81,none,Medium,Yes,Yes,100.0,68.32
38.22,5.28,1,100.0,Higher,Low,No,Yes,59.4,55.91
100.0,8.37,3,66.03,Secondary,High,No,Yes,100.0,96.62
51.91,0.89,5,71.75,Higher,High,Yes,Yes,37.89,38.36
87.68,0.0,4,74.34,Secondary,Low,No,Yes,78.55,41.77
85.64,2.66,5,100.0,Secondary,Medium,No,Yes,99.52,57.49
84.73,6.81,2,20.27,Secondary,Medium,No,Yes,72.27,42.16
84.3,1.82,5,54.91,Secondary,Medium,Yes,Yes,94.58,54.73
50.75,4.03,2,100.0,Secondary,Medium,Yes,Yes,93.1,59.82
100.0,0.0,0,52.42,Higher,Low,No,Yes,99.12,74.54
98.91,1.43,5,82.29,Secondary,Low,Yes,Yes,100.0,67.97
86.88,0.0,0,78.68,none,High,Yes,Yes,50.92,57.78
41.68,2.32,3,49.78,Secondary,Low,No,Yes,68.36,31.91
50.54,0.0,1,94.08,Higher,Low,No,Yes,68.21,56.18
91.44,4.04,0,94.18,Higher,Low,Yes,Yes,91.37,85.01
24.91,6.15,1,88.51,Higher,Low,No,Yes,78.71,55.49
83.47,7.16,2,75.32,Secondary,High,No,Yes,100.0,66.46
41.72,10.59,4,89.06,Higher,Low,Yes,Yes,79.67,55.38
53.3,1.9,3,98.15,Secondary,Medium,No,Yes,62.71,54.95
39.72,1.91,1,63.8,Primary,High,No,Yes,34.12,38.61
81.15,2.54,1,54.51,Primary,Medium,Yes,Yes,100.0,54.23
100.0,7.96,5,49.12,none,High,Yes,Yes,65.71,61.42
83.7,7.07,2,100.0,none,High,No,Yes,59.25,71.35
86.45,4.17,1,51.59,Higher,Low,Yes,Yes,100.0,50.18
79.2,12.36,1,36.21,Secondary,Low,Yes,Yes,100.0,78.77
92.07,5.55,2,100.0,Secondary,High,Yes,Yes,68.67,68.49
86.68,4.06,5,49.44,none,High,No,Yes,91.25,48.11
10.0,4.41,3,80.61,Secondary,Medium,Yes,Yes,100.0,53.24
97.66,5.39,1,61.88,Higher,Medium,Yes,Yes,98.83,90.75
95.03,3.28,1,62.54,Higher,High,Yes,Yes,85.27,69.05
65.94,0.0,2,100.0,Secondary,High,Yes,Yes,77.73,61.3
25.64,7.67,4,58.56,Secondary,High,Yes,No,57.98,40.39
81.06,8.79,1,67.15,Higher,Low,No,Yes,30.4,72.46
83.17,11.22,3,83.72,Secondary,Low,No,Yes,100.0,69.86
63.99,5.83,3,44.3,Higher,High,Yes,Yes,77.68,65.85
79.67,0.0,3,76.7,Higher,Low,Yes,Yes,65.42,45.79
100.0,8.01,0,81.88,Secondary,High,No,Yes,74.42,84.59
100.0,0.0,3,1.09,none,Low,Yes,Yes,88.99,35.26
78.67,9.93,5,89.47,Higher,Low,No,Yes,75.98,74.59
83.35,10.19,4,100.0,Higher,Medium,No,Yes,69.3,92.22
54.41,0.0,5,83.16,none,Medium,No,Yes,65.31,36.75
62.47,8.95,2,58.92,Higher,Low,No,Yes,100.0,66.81
71.6,5.25,0,56.82,Secondary,Low,Yes,Yes,91.61,63.21
100.0,1.06,5,100.0,Higher,Low,No,Yes,50.59,62.16
95.47,7.21,2,100.0,none,High,Yes,Yes,79.38,90.99
100.0,2.74,5,90.2,Higher,High,No,Yes,82.59,61.77
37.74,0.0,4,100.0,Higher,Low,No,Yes,90.56,40.42
41.91,10.97,2,100.0,Secondary,Low,Yes,Yes,81.44,79.25
100.0,7.48,2,100.0,Higher,Low,Yes,Yes,79.17,100.0
100.0,8.86,0,100.0,Higher,High,Yes,No,95.71,96.5
75.83,12.57,0,81.03,Higher,Low,Yes,Yes,100.0,83.78
10.0,7.09,4,17.91,Secondary,Medium,Yes,Yes,67.7,40.96
56.41,9.61,3,87.01,Higher,Low,Yes,Yes,69.59,63.77
83.39,9.52,0,100.0,Secondary,Low,No,Yes,26.06,79.99
52.51,4.15,1,54.98,Secondary,Low,No,Yes,100.0,59.71
79.63,4.61,2,76.96,Secondary,Medium,Yes,Yes,77.82,61.62
100.0,6.05,4,55.19,Higher,Medium,No,Yes,87.74,70.22
100.0,10.16,2,40.05,Secondary,Low,No,Yes,53.36,65.06
95.22,4.73,2,26.46,Primary,High,Yes,Yes,93.64,59.46
73.39,0.91,3,83.08,Higher,Medium,No,Yes,59.57,53.03
62.63,8.11,0,84.65,Secondary,Low,Yes,Yes,44.57,70.57
93.94,12.02,3,55.03,Secondary,Low,No,Yes,50.26,58.0
75.63,7.17,3,100.0,Secondary,High,No,Yes,68.13,72.42
76.49,1.41,0,4.05,Secondary,Medium,Yes,Yes,82.05,38.75
36.22,14.03,0,100.0,Secondary,Low,No,Yes,93.82,82.13
57.14,8.32,2,95.21,Primary,Medium,No,Yes,100.0,65.86
93.8,4.78,3,40.12,Higher,High,No,Yes,100.0,53.11
47.47,8.13,3,63.79,Secondary,Low,Yes,Yes,44.43,62.1
81.64,4.63,1,54.69,Secondary,High,Yes,Yes,95.03,67.95
85.31,0.0,2,76.74,Secondary,Medium,Yes,Yes,30.42,71.92
86.77,9.01,2,68.33,Secondary,Low,Yes,Yes,93.75,76.4
89.01,9.86,2,60.87,Secondary,Medium,Yes,Yes,100.0,83.26
90.69,11.43,0,46.52,Primary,Low,No,Yes,65.01,77.35
59.41,5.66,1,100.0,Secondary,Low,Yes,No,58.6,67.91
38.31,8.38,2,24.44,Secondary,Low,No,Yes,62.28,32.86
53.16,6.61,1,100.0,Secondary,Medium,Yes,No,89.63,73.5
93.25,12.47,1,47.65,Higher,Low,Yes,Yes,43.82,66.64
44.98,5.08,4,74.03,Higher,Low,Yes,Yes,32.45,12.99
48.98,5.24,3,25.03,Higher,Medium,Yes,Yes,55.43,31.56
48.85,4.16,3,100.0,Secondary,Medium,Yes,Yes,54.66,45.13
28.85,6.14,2,93.59,Secondary,High,No,Yes,89.84,74.72
46.32,9.41,0,72.03,Higher,Medium,Yes,Yes,95.72,67.04
100.0,13.02,0,71.85,Secondary,Low,No,Yes,73.44,73.69
57.08,5.11,5,99.74,Secondary,High,No,Yes,54.24,35.4
31.28,4.34,0,100.0,Primary,Low,Yes,Yes,60.18,41.42
62.21,0.0,0,54.29,Higher,Low,No,Yes,47.95,35.84
87.76,5.02,2,71.79,Secondary,High,No,Yes,43.04,65.61
29.23,1.13,2,100.0,Higher,Medium,No,Yes,47.08,64.67
98.83,15.0,3,67.73,Higher,Medium,No,Yes,100.0,62.66
38.98,6.69,0,91.39,Secondary,High,No,Yes,84.92,73.62
65.11,0.15,2,71.26,Secondary,Medium,Yes,No,100.0,46.53
64.79,5.23,1,69.45,Secondary,Low,No,Yes,43.11,55.04
60.96,7.99,1,48.11,Secondary,Low,No,Yes,57.0,71.61
73.38,10.53,4,100.0,Higher,Low,Yes,No,86.56,92.43
94.46,7.18,2,96.22,Higher,Medium,No,Yes,53.46,62.88
73.98,10.61,2,32.92,Higher,Low,Yes,No,93.86,69.28
59.86,7.06,2,100.0,Higher,Low,No,Yes,95.38,78.23
86.43,3.93,3,100.0,Secondary,Medium,Yes,Yes,60.07,65.43
80.18,0.58,1,59.64,Secondary,Low,Yes,Yes,61.73,47.54
58.26,1.17,2,92.37,Secondary,High,Yes,Yes,44.29,50.76
76.06,5.82,5,72.18,Secondary,Medium,No,Yes,74.45,81.03
56.19,6.1,2,43.92,Primary,Low,Yes,No,39.25,46.89
53.36,0.0,2,59.98,Secondary,Low,No,Yes,84.11,31.62
95.15,0.0,0,44.81,Secondary,High,Yes,Yes,89.75,53.42
86.17,7.12,1,78.56,Higher,Low,No,No,91.48,67.98
94.26,3.36,3,88.03,Secondary,High,Yes,Yes,36.3,69.0
90.88,5.16,0,81.93,none,Low,No,Yes,100.0,82.66
52.82,5.2,0,76.61,Higher,High,Yes,No,86.83,66.81
100.0,0.8,2,75.06,Higher,Low,No,Yes,57.54,41.73
67.56,3.94,1,55.01,Primary,Low,No,Yes,97.0,48.17
98.23,7.17,1,33.69,Higher,Medium,No,Yes,79.45,71.15
71.87,7.68,0,60.28,Secondary,Low,No,No,86.71,67.48
82.83,6.97,3,79.56,Higher,High,Yes,Yes,39.07,48.32
83.58,12.4,4,81.09,Secondary,High,No,Yes,82.75,86.25
95.33,12.43,3,81.18,Secondary,Low,No,Yes,54.98,90.82
34.14,6.04,2,94.37,Primary,Medium,Yes,No,82.69,64.22
35.59,2.83,2,100.0,Higher,Low,Yes,Yes,61.0,68.57
91.79,10.47,5,88.81,Secondary,Low,Yes,Yes,77.84,61.56
83.91,2.32,1,67.25,Higher,High,Yes,Yes,87.41,67.83
55.61,2.76,0,39.47,Secondary,Medium,No,Yes,68.42,43.42
84.11,4.35,0,100.0,Secondary,Medium,No,Yes,49.14,69.07
39.8,10.3,3,87.91,Primary,Low,No,Yes,81.98,55.66
100.0,3.59,3,88.09,Primary,Low,No,Yes,52.99,58.99
100.0,12.25,2,100.0,Secondary,Low,Yes,Yes,66.13,84.52
90.56,12.93,1,48.6,Secondary,Medium,Yes,Yes,82.34,85.22
76.89,0.0,0,76.6,Primary,Medium,No,Yes,73.55,68.61
59.53,2.14,0,91.69,Secondary,Medium,Yes,Yes,85.64,50.43
42.25,9.91,4,14.96,Higher,High,No,Yes,99.14,43.9
72.15,5.18,2,71.91,Higher,High,No,Yes,84.01,78.49
53.51,10.32,3,61.33,none,High,No,Yes,64.13,58.34
54.96,0.81,0,91.89,Higher,Low,No,Yes,80.69,43.67
39.58,2.91,3,100.0,Secondary,Low,No,Yes,50.38,56.87
81.24,10.19,3,67.75,Higher,Low,No,Yes,58.41,82.48
65.58,3.37,1,97.46,none,Low,Yes,Yes,83.65,73.51
88.38,1.75,3,81.59,Higher,High,Yes,Yes,66.19,52.69
86.43,4.29,0,40.49,Primary,Low,Yes,Yes,30.92,39.2
80.74,11.75,2,88.72,none,Medium,No,Yes,100.0,88.78
,7.95,2,77.79,Secondary,High,Yes,Yes,83.36,60.72
95.59,4.35,1,13.84,Higher,High,Yes,Yes,66.33,66.03
43.49,2.01,3,43.97,Primary,Medium,No,Yes,81.11,31.79
86.47,3.54,0,94.43,Secondary,Low,No,Yes,74.18,73.07
73.65,4.35,5,100.0,Secondary,High,No,Yes,50.91,60.95
41.46,10.05,0,100.0,Secondary,Low,Yes,Yes,54.95,71.85
39.46,2.42,3,85.02,Higher,Low,Yes,Yes,89.78,59.0
86.33,1.84,2,81.57,Secondary,Medium,Yes,Yes,89.14,64.87
92.44,7.39,4,70.98,Secondary,Low,Yes,Yes,100.0,65.44
48.84,13.16,1,82.97,Secondary,Low,No,Yes,35.86,73.83
99.25,8.22,0,65.93,none,Low,No,Yes,82.14,77.05
82.12,8.39,0,89.78,none,Medium,No,Yes,70.48,94.63
100.0,7.21,0,75.26,Secondary,Low,No,Yes,79.95,64.48
100.0,10.11,3,93.54,none,Low,Yes,Yes,84.75,69.9
71.04,0.8,3,93.18,Secondary,High,Yes,Yes,100.0,54.69
100.0,0.0,0,53.1,Secondary,Low,No,Yes,73.61,55.5
46.9,9.73,4,52.85,Higher,Low,Yes,Yes,90.98,57.48
100.0,4.93,2,88.72,Higher,Medium,Yes,Yes,96.09,85.57
53.03,4.14,0,70.6,Higher,Low,Yes,Yes,70.85,48.88
73.8,5.33,1,61.43,Secondary,Low,No,Yes,92.69,58.59
60.82,7.43,1,50.23,Higher,High,No,Yes,70.81,73.24
65.58,11.1,1,69.46,none,Low,No,Yes,72.48,76.44
100.0,,3,85.87,Secondary,Low,No,Yes,60.07,81.88
63.43,4.74,3,0.0,Higher,Medium,No,Yes,32.37,17.52
,7.51,1,39.51,Higher,Medium,No,Yes,76.84,69.68
69.11,5.74,2,100.0,Primary,Medium,No,Yes,83.5,60.39
98.41,1.95,1,62.74,Secondary,Low,Yes,Yes,87.02,67.52
61.4,0.16,1,100.0,Secondary,Low,Yes,Yes,100.0,68.21
81.4,12.09,2,50.13,Secondary,High,Yes,Yes,70.6,74.91
90.72,7.9,0,77.57,Secondary,Medium,Yes,Yes,100.0,79.07
56.95,3.84,0,70.44,Secondary,Medium,Yes,Yes,69.68,62.48
100.0,11.66,4,33.71,Secondary,Medium,No,Yes,86.38,58.17
92.02,7.89,3,93.99,Secondary,Medium,Yes,Yes,89.81,74.92
69.35,8.41,2,42.31,Secondary,Low,No,Yes,98.2,55.09
57.57,8.91,5,52.71,Primary,Medium,No,Yes,68.17,49.4
77.29,6.42,0,76.49,Secondary,Low,No,Yes,100.0,70.25
44.6,5.56,3,32.42,Secondary,Low,Yes,No,68.72,38.62
100.0,10.07,0,95.15,Primary,Low,No,Yes,22.16,89.15
85.78,6.32,5,91.35,none,Low,No,Yes,54.56,59.51
72.8,13.34,3,84.54,Primary,Low,No,Yes,100.0,94.54
100.0,9.39,0,26.19,Secondary,Medium,No,Yes,100.0,67.53
56.96,8.8,1,87.45,Secondary,High,Yes,Yes,100.0,64.02
46.1,7.14,3,100.0,Higher,Medium,No,Yes,39.87,57.98
71.75,2.37,4,65.1,Secondary,Low,No,Yes,69.57,56.19
78.19,0.68,1,95.41,Primary,Medium,Yes,Yes,43.08,49.29
88.26,6.25,5,80.89,Secondary,Medium,No,Yes,99.38,71.92
38.09,2.83,4,44.48,Secondary,Low,No,Yes,94.45,42.78
63.59,11.54,2,67.4,Primary,Low,Yes,Yes,79.88,80.73
10.0,0.0,0,100.0,none,Low,Yes,Yes,100.0,59.66
45.44,1.46,4,47.86,Higher,Low,Yes,No,46.6,29.3
92.88,7.33,1,92.17,Higher,Medium,Yes,Yes,100.0,90.46
99.03,8.82,4,100.0,Secondary,Medium,No,Yes,96.47,83.15
46.45,0.0,3,100.0,Secondary,High,No,Yes,100.0,51.35
66.88,0.0,0,100.0,Secondary,Low,Yes,Yes,75.47,53.03
75.64,1.26,0,75.29,Primary,Low,No,No,55.71,38.77
100.0,10.12,3,100.0,Secondary,Low,Yes,Yes,42.08,75.9
100.0,6.59,1,65.4,Primary,High,No,Yes,56.9,78.28
78.83,11.26,1,79.6,Secondary,Low,Yes,Yes,85.93,65.13
68.48,5.86,0,54.83,Secondary,Low,No,Yes,100.0,64.44
38.91,5.38,3,96.4,Higher,Low,No,No,100.0,55.65
77.7,8.8,0,52.17,Primary,Medium,No,Yes,100.0,57.2
100.0,12.29,1,92.42,Secondary,Medium,No,Yes,72.51,99.25
100.0,3.25,0,100.0,Secondary,Low,No,Yes,100.0,91.52
79.37,5.78,3,55.84,Secondary,Medium,Yes,Yes,88.43,55.56
82.58,5.38,4,88.53,Higher,High,Yes,No,100.0,72.88
57.79,2.84,0,77.31,Higher,Low,Yes,Yes,70.06,54.07
66.07,10.67,2,77.75,Higher,Low,Yes,Yes,30.96,72.29
78.69,4.37,2,100.0,none,Low,Yes,Yes,80.33,79.16
78.77,5.73,5,100.0,Higher,Medium,Yes,Yes,91.2,61.1
100.0,7.59,5,62.81,Higher,Medium,Yes,Yes,64.75,60.21
99.05,10.76,0,61.5,none,Medium,Yes,Yes,71.32,61.66
88.01,11.61,0,93.41,none,Medium,Yes,Yes,56.56,93.01
50.02,1.95,4,37.48,Secondary,Medium,No,Yes,47.93,16.11
50.96,9.24,3,64.62,Secondary,Medium,Yes,Yes,100.0,57.02
52.8,6.82,2,72.4,Primary,Low,Yes,Yes,63.54,66.45
80.89,7.37,0,32.29,none,High,No,Yes,100.0,67.73
24.34,1.63,1,70.23,Secondary,Medium,No,Yes,57.34,38.79
74.84,10.72,3,70.07,Primary,Low,Yes,Yes,85.38,64.59
100.0,8.09,1,51.5,Secondary,Medium,No,Yes,78.02,74.48
91.67,2.93,0,12.1,Secondary,High,No,Yes,72.99,53.3
66.23,0.0,4,100.0,Higher,High,Yes,Yes,100.0,67.39
57.54,5.05,1,62.69,Secondary,Low,Yes,No,73.6,49.19
95.14,8.19,1,100.0,Secondary,Medium,No,Yes,41.92,83.82
82.65,0.55,3,100.0,Secondary,Low,Yes,Yes,69.17,75.5
68.84,0.0,3,65.45,Primary,Medium,No,Yes,100.0,50.78
60.27,5.71,0,100.0,Secondary,Low,No,Yes,76.03,72.61
76.91,3.36,0,90.62,Primary,Medium,No,Yes,63.43,43.23
67.42,0.72,2,69.91,Secondary,Medium,No,Yes,100.0,62.75
94.61,3.54,2,84.93,none,High,Yes,Yes,76.06,72.42
100.0,6.45,1,80.56,Higher,Medium,No,No,97.57,72.29
40.82,1.52,1,85.63,Secondary,High,Yes,Yes,60.29,51.68
44.35,14.04,2,90.0,Secondary,Low,No,Yes,66.99,62.5
100.0,,0,61.58,Higher,Medium,No,Yes,73.75,74.21
79.15,10.57,3,65.32,Secondary,High,Yes,Yes,68.8,50.17
46.71,7.36,2,55.81,Secondary,Medium,No,Yes,90.4,67.55
99.58,0.0,3,73.59,Secondary,Medium,No,No,70.7,52.79
83.54,8.17,2,48.44,none,Low,No,Yes,58.66,60.33
100.0,5.6,0,81.13,Secondary,Medium,Yes,Yes,100.0,59.81
69.12,6.52,3,100.0,Primary,Medium,Yes,Yes,90.37,83.68
100.0,3.4,1,74.54,Secondary,Low,Yes,Yes,100.0,61.19
38.78,4.35,2,70.44,Primary,Medium,Yes,Yes,89.32,55.24
100.0,,1,51.31,none,Low,Yes,Yes,86.25,92.31
98.6,5.05,0,90.88,Primary,Medium,Yes,Yes,80.31,65.42
100.0,2.12,3,69.63,Secondary,Low,No,Yes,91.9,76.2
100.0,2.89,0,98.7,Higher,Low,Yes,Yes,82.53,73.36
72.52,10.5,1,76.17,Secondary,Low,Yes,Yes,53.53,69.33
45.72,11.24,3,64.3,Secondary,Medium,Yes,Yes,100.0,46.79
59.95,7.75,2,74.24,none,Low,No,Yes,99.94,53.3
30.97,7.48,5,64.69,Secondary,Medium,Yes,Yes,94.44,43.1
51.98,10.63,2,54.74,Primary,Low,Yes,No,73.69,67.75
85.65,6.02,4,74.46,Higher,Medium,Yes,Yes,72.39,55.56
73.81,3.72,2,65.83,none,Low,Yes,Yes,59.57,67.26
69.41,0.0,0,100.0,Higher,Medium,Yes,No,89.97,51.26
55.17,4.7,3,66.48,Secondary,High,No,Yes,50.16,61.61
30.69,5.56,3,83.75,Secondary,High,Yes,Yes,100.0,49.01
79.55,10.85,1,48.14,Higher,Medium,No,Yes,55.18,82.97
84.48,4.39,2,78.44,Primary,Low,Yes,Yes,79.32,56.59
50.21,4.59,0,75.68,Secondary,High,Yes,Yes,96.74,61.06
61.66,0.0,2,60.61,Secondary,Low,No,Yes,64.02,46.9
100.0,8.19,1,100.0,Higher,Medium,Yes,Yes,36.81,80.31
100.0,8.58,1,67.61,Secondary,Medium,No,Yes,54.68,88.9
37.89,5.3,3,45.19,none,Medium,Yes,Yes,73.44,48.36
72.88,5.95,4,71.46,Secondary,High,No,Yes,31.57,47.21
100.0,14.89,1,68.26,Higher,High,No,Yes,0.0,67.49
69.59,15.0,0,95.37,Secondary,Low,No,Yes,73.52,96.83
68.28,6.93,4,42.04,Secondary,Medium,No,Yes,94.09,61.68
100.0,1.37,1,74.3,Higher,Low,No,Yes,81.66,59.81
99.68,0.0,0,58.5,Secondary,Low,Yes,Yes,52.68,65.0
98.38,9.03,1,99.45,none,Low,No,Yes,87.1,83.67
68.45,13.05,4,98.57,Secondary,High,No,Yes,68.23,69.15
91.57,12.0,3,66.2,Secondary,Low,No,Yes,100.0,100.0
100.0,9.94,2,42.52,Secondary,Low,Yes,Yes,79.78,83.69
73.75,5.95,1,84.9,Higher,High,Yes,No,79.75,84.17
64.91,1.17,1,100.0,Secondary,Medium,No,Yes,67.88,77.22
100.0,11.26,4,100.0,Secondary,Low,No,Yes,95.88,77.77
100.0,1.48,1,80.27,Secondary,Low,No,Yes,63.57,85.3
100.0,4.13,3,59.42,Secondary,Low,Yes,Yes,85.01,63.36
65.64,1.1,2,25.25,Secondary,Low,Yes,Yes,48.47,25.34
68.15,0.0,0,100.0,Secondary,High,No,Yes,74.78,64.14
49.27,0.5,5,77.81,Secondary,Medium,Yes,Yes,58.27,38.32
77.95,0.69,3,90.2,Higher,Low,No,Yes,60.51,61.95
48.15,6.06,1,94.45,Secondary,Low,Yes,Yes,52.69,62.09
61.83,3.25,2,77.08,Secondary,Medium,Yes,Yes,82.06,59.35
92.53,13.84,1,75.77,Secondary,Low,No,Yes,98.14,89.3
84.75,1.86,3,54.92,Secondary,Low,No,Yes,50.29,45.24
29.73,,3,78.65,Higher,Medium,Yes,Yes,53.15,40.64
100.0,12.73,5,93.48,Secondary,Low,No,Yes,64.17,72.95
47.83,12.47,0,53.69,Higher,Low,No,No,48.22,57.41
50.98,3.27,0,64.68,Secondary,High,Yes,Yes,53.19,64.48
44.03,9.85,4,52.77,Secondary,Low,No,Yes,92.45,67.88
58.47,11.5,2,34.64,Secondary,Low,Yes,Yes,100.0,71.1
52.58,0.55,0,78.67,none,Medium,Yes,Yes,100.0,48.09
53.19,6.46,2,100.0,Secondary,Low,Yes,Yes,94.81,71.65
13.39,0.0,3,54.3,Secondary,Medium,Yes,Yes,73.72,29.95
78.25,4.89,3,95.5,Primary,Low,Yes,Yes,58.14,64.62
80.8,6.48,4,26.01,Secondary,Medium,No,Yes,79.93,57.58
100.0,7.28,2,52.84,Higher,Low,No,Yes,74.27,76.09
87.16,5.27,3,95.28,Primary,Low,No,No,100.0,62.44
62.59,4.33,1,96.8,Higher,Low,Yes,Yes,64.51,73.08
44.98,3.71,2,67.07,Primary,High,No,Yes,86.54,57.61
72.59,0.27,5,62.02,Secondary,Medium,Yes,Yes,32.99,62.17
86.22,10.91,3,100.0,Secondary,High,No,Yes,47.99,78.4
62.42,13.54,0,74.34,Secondary,Low,No,Yes,98.65,72.88
76.53,11.1,4,87.61,Secondary,Low,No,Yes,65.18,74.06
100.0,10.28,5,56.56,Secondary,Low,Yes,Yes,31.73,65.41
65.4,7.81,1,67.67,Secondary,Low,No,Yes,19.21,47.82
27.83,7.79,0,88.43,Secondary,Medium,No,Yes,38.97,59.68
96.84,11.41,3,52.81,none,Low,No,Yes,100.0,85.6
82.86,1.52,5,65.22,Higher,High,No,No,83.39,42.08
32.28,9.22,1,57.16,Secondary,Low,Yes,Yes,96.41,58.89
85.69,6.31,1,56.84,Secondary,High,No,Yes,61.5,77.43
50.05,3.74,3,39.21,Higher,Low,No,Yes,100.0,53.45
86.03,3.6,3,86.93,Higher,Low,Yes,Yes,100.0,73.46
100.0,6.48,5,66.88,Secondary,Medium,Yes,Yes,84.81,71.38
70.58,6.21,0,46.55,Secondary,Low,No,Yes,99.92,63.05
100.0,8.45,3,72.36,Higher,Low,Yes,Yes,76.3,77.67
44.29,5.03,3,46.25,Higher,Low,Yes,Yes,90.2,53.81
37.01,6.01,3,90.2,Higher,Low,No,Yes,80.65,60.82
100.0,8.98,1,73.26,Secondary,High,No,Yes,18.85,64.34
82.7,3.57,0,80.22,Secondary,Medium,No,Yes,49.58,47.69
90.92,8.0,4,62.16,Secondary,High,Yes,Yes,55.8,75.42
100.0,10.07,1,100.0,Secondary,High,No,Yes,87.06,90.6
61.8,9.08,2,76.49,Secondary,Low,No,Yes,100.0,53.33
95.63,7.9,1,40.83,Secondary,Low,No,Yes,74.94,74.66
91.84,0.0,1,77.12,Higher,Low,No,Yes,57.89,51.68
42.63,4.99,1,70.58,Secondary,High,No,Yes,83.95,49.59
100.0,6.71,1,67.47,Secondary,Low,Yes,Yes,30.92,56.88
100.0,8.13,3,86.62,Secondary,High,No,Yes,33.44,76.83
42.91,0.0,1,52.66,Primary,Low,No,Yes,57.61,30.39
80.01,5.49,3,72.58,Primary,Medium,No,No,92.52,77.1
69.22,9.4,3,92.29,Secondary,Low,No,Yes,26.62,75.35
100.0,12.28,1,74.21,Secondary,Low,Yes,Yes,55.5,80.17
39.73,2.76,2,100.0,Secondary,Medium,No,Yes,67.95,63.88
100.0,2.07,0,28.62,Higher,Low,No,Yes,89.03,41.74
70.64,5.15,0,100.0,Higher,Low,Yes,Yes,87.8,66.17
93.46,15.0,2,78.49,Higher,Medium,Yes,Yes,57.13,75.81
100.0,11.27,1,30.91,Secondary,Low,Yes,Yes,74.87,71.17
70.1,11.37,3,84.61,none,Low,No,Yes,92.16,81.16
72.13,3.48,0,100.0,Secondary,Low,No,No,100.0,76.24
62.43,7.17,0,86.09,none,High,Yes,Yes,20.86,70.51
52.86,8.04,1,91.27,Secondary,Low,No,Yes,24.94,65.89
81.8,7.84,4,59.31,Primary,Low,No,No,71.24,61.52
71.62,0.6,0,55.87,Secondary,High,Yes,No,85.67,57.35
62.27,0.0,3,87.38,Secondary,Low,Yes,Yes,39.63,34.05
63.73,10.22,5,68.34,Higher,Medium,Yes,No,17.72,63.9
89.41,1.04,0,71.52,Higher,High,No,Yes,32.85,63.82
55.06,5.35,3,64.25,Secondary,Low,No,Yes,61.89,59.77
68.83,2.28,3,67.51,Secondary,Low,Yes,No,76.36,54.18
97.47,2.32,2,34.31,Primary,Low,Yes,Yes,70.85,36.18
81.18,3.93,2,98.69,Primary,Medium,No,Yes,44.23,49.53
48.76,3.14,3,61.25,Higher,High,Yes,Yes,100.0,36.72
74.4,10.55,0,48.03,Secondary,Low,Yes,Yes,54.77,43.3
85.93,8.34,3,49.96,Secondary,High,Yes,Yes,87.34,56.46
99.73,5.99,1,49.39,Secondary,Low,No,Yes,100.0,55.67
56.12,4.63,0,83.95,none,Low,No,Yes,100.0,86.18
61.04,6.5,1,72.4,Secondary,Low,No,Yes,74.76,60.83
57.62,7.79,4,56.69,Secondary,Medium,Yes,Yes,62.04,48.81
58.86,0.0,4,100.0,Secondary,Medium,Yes,Yes,69.49,50.45
85.13,6.56,0,55.93,Higher,Medium,No,Yes,58.08,69.04
89.86,6.98,4,28.94,Secondary,High,Yes,Yes,63.38,53.78
100.0,4.86,4,68.36,none,Low,No,Yes,49.13,61.01
72.72,0.41,2,29.48,Higher,High,Yes,Yes,62.76,35.39
39.87,2.16,0,82.16,Higher,Medium,No,Yes,83.95,55.88
91.74,8.92,2,68.13,Secondary,Medium,No,Yes,26.46,56.27
78.98,6.27,0,71.25,Secondary,Medium,No,Yes,93.27,79.99
76.5,6.83,2,100.0,Primary,Low,No,Yes,50.58,83.4
42.91,3.31,0,100.0,Secondary,Medium,Yes,Yes,51.38,53.83
70.1,10.33,3,63.98,Secondary,High,Yes,Yes,52.3,47.47
45.16,4.71,3,75.61,Secondary,High,Yes,Yes,82.41,61.11
87.05,1.7,2,49.97,Secondary,Low,Yes,Yes,100.0,59.79
64.25,7.15,0,100.0,Secondary,High,No,Yes,82.37,74.27
62.01,0.76,4,65.49,Higher,Low,No,Yes,54.23,40.3
36.57,6.76,0,66.34,none,Low,Yes,Yes,72.83,67.6
100.0,8.75,3,75.23,Higher,Low,No,Yes,67.54,81.34
68.54,0.0,3,48.86,Primary,Low,Yes,Yes,72.14,33.16
77.17,9.92,3,80.63,Secondary,High,No,No,77.47,64.76
56.61,0.0,0,40.68,Primary,High,No,Yes,100.0,42.24
